"Ticks","placeholder","Changers","Stayers"
0,,0,0
1,,0,0
2,,0,0
3,,0,0
4,,60003.929719162166,60003.929719162166
5,,60483.96115691549,60820.20959326629
6,,59697.669661875545,61322.52173548882
7,,60355.11393857838,61940.43117320306
8,,61082.31748890798,62674.853122111825
9,,61766.36987175734,63312.78586336362
10,,62575.214155580026,64132.3133348666
11,,63142.69027425449,64989.13866156611
12,,63893.94167770478,65183.057923379216
13,,64797.237126407716,65842.27315508264
14,,63954.87304376438,66524.71049563384
15,,63123.45969419544,67364.15549029688
16,,63557.687093780325,68175.09444420386
17,,64136.81325701743,68738.37933642848
18,,64640.25650615524,69706.05368315057
19,,65889.70115029186,69890.87631231696
20,,65033.13503533804,70406.18990062589
21,,64187.70427987865,71297.50262408212
22,,64761.937232638316,72258.5849778118
23,,65604.43351289933,72895.6108446979
24,,64751.5758772316,73633.85523056735
25,,65708.41189028799,74255.08295674797
26,,64854.20253571425,74948.22001897037
27,,65619.85999525098,75289.54759520259
28,,66304.65750862897,76039.3413635468
29,,65442.69696101681,77156.4616549635
30,,64591.94190052359,77888.08925145704
31,,65418.63282776448,78879.39563775322
32,,64568.190601003516,79805.98482034965
33,,63728.80412319048,80416.02463994524
34,,64233.782399547126,81129.91490112523
35,,65195.811668488604,82262.76221520394
36,,64348.26611679826,83368.59599678947
37,,63511.738657279864,84118.56172877144
38,,64077.57248794353,84392.3941883608
39,,64844.21689416207,85293.50176314324
40,,64001.24207453797,86342.4641205583
41,,64445.08423239212,87080.86001967534
42,,65325.66999155954,88172.51981430303
43,,66489.75363285461,89195.20780166365
44,,65625.38683562749,90581.47546691464
45,,64772.256806764315,91317.72697669055
46,,65686.13033249753,92170.92047849434
47,,66314.4481236535,93445.23835181426
48,,67104.47184237656,94372.28496431981
49,,66232.11370842563,94680.65086476435
50,,65371.096230216106,95862.71803425616
51,,64521.271979223326,96960.11076018408
52,,65066.20141576936,97908.2960334058
53,,65567.4509968303,98778.89942822278
54,,66191.786403719,99532.69337677465
55,,66796.74827766498,100619.38801574767
56,,67419.55290157154,101233.42515892614
57,,67887.99018549762,102963.60525212648
58,,67005.44631308613,104305.3181826897
59,,66134.375511016,105782.67379085974
60,,65274.62862937279,106783.09487628005
61,,64426.05845719092,108545.86000876858
62,,64879.562460663445,109303.61852010562
63,,65543.33452211182,110026.52382355553
64,,64691.271173324385,111395.0089554978
65,,65217.290508582635,112806.56913822664
66,,65580.01777837925,113844.07144394811
67,,66531.19181366825,115190.11267673472
68,,65666.28632009054,116290.6876366229
69,,66261.87774429705,117853.88785321468
70,,67077.4899667489,118857.02291051007
71,,66205.48259718111,119990.04728466868
72,,65344.81132341776,121034.17231433795
73,,65755.23553160831,121953.11299639796
74,,64900.4174696974,122847.52474763601
75,,64056.71204259135,123229.90506230576
76,,63223.97478603768,125206.15797284189
77,,64068.833852508986,125804.730096738
78,,63235.93901242639,126488.77531451614
79,,63574.034054105454,127511.13253540006
80,,62747.57161140209,128555.68111439458
81,,61931.85318045386,129754.47623775674
82,,62382.98188286291,131157.7628180142
83,,61572.0031183857,132041.95338692694
84,,62386.32794975081,134389.96590697608
85,,62966.52914375064,135402.87543927497
86,,62147.96426488187,137721.07246582158
87,,62632.36009977945,138758.69718730223
88,,63280.86061667509,140448.93183141502
89,,62458.2094286583,142456.52103331697
90,,63003.21307525633,144190.91141780227
91,,62184.17130527797,146199.43547733437
92,,62766.94529052194,147377.44781324422
93,,63323.61433103944,148778.04522457955
94,,62500.40734473596,150113.18712851423
95,,61687.90204925436,151114.3678840485
96,,60885.95932261406,152517.26573310042
97,,61339.57493236697,153175.06634084656
98,,60542.16045824621,155245.8673465235
99,,61282.44982119546,156917.93055645263
100,,61642.214693584785,158677.29344309767
101,,62512.220696099546,160130.0085656224
102,,61699.56182705027,161993.3469961136
103,,60897.467523298634,163501.91155395505
104,,61646.230056054475,165211.66222766036
105,,60844.82906532575,166685.62768709555
106,,60053.8462874765,168888.1936554762
107,,59273.14628573934,171169.12758351205
108,,58502.59538402472,172754.27770418196
109,,58733.4107264718,174483.42838033813
110,,59297.59742346606,176287.63786221776
111,,58526.728656960986,178558.70452108872
112,,57765.881184420476,180946.6223225055
113,,58228.66676834453,182338.29229630867
114,,57471.69410035605,183986.2566361395
115,,58101.881349587806,185843.03037657743
116,,58846.11323623557,186145.3398783562
117,,59890.69887355487,188314.41179433602
118,,60496.668515550366,190499.71386508577
119,,61515.4009826481,192872.40401713963
120,,62023.64899786086,195387.79858647683
121,,61217.34156088864,197518.24042736637
122,,62003.12543687361,200315.9502282315
123,,62290.41632523573,202860.32793035702
124,,61480.640913007635,205805.70916463842
125,,60681.39258113852,208052.16973202978
126,,61570.37366289605,209617.69477642214
127,,62253.70700772848,211359.35897179935
128,,61444.408816627976,214370.00044243608
129,,60645.63150201181,218180.56293966807
130,,61187.59728358029,220061.246311923
131,,60392.15851889375,222681.9775047197
132,,61040.41742337144,225689.7045717167
133,,61823.13035396991,228783.51477336025
134,,61019.42965936829,231694.76995472796
135,,62016.9336111605,232475.03669484105
136,,61210.71347421544,234856.24081847654
137,,60414.97419905063,238163.8556915142
138,,59629.57953446296,241479.35749063795
139,,58854.39500051495,243879.79374460367
140,,58089.28786550824,244488.69557852639
141,,58741.9819070513,246688.54954621298
142,,57978.33614225965,249282.4052735711
143,,58409.00178895289,252816.88037547108
144,,57649.684765696504,255062.73257758285
145,,56900.23886374242,257618.46912198907
146,,56160.53575851381,258811.93689108134
147,,56709.51449194179,262302.561617592
148,,57156.340752807984,264526.6352675438
149,,57960.13562621996,267223.5107180384
150,,58613.88893470574,269689.6598849018
151,,57851.908378554566,272975.0762243146
152,,58855.804791979885,275525.9424279268
153,,58090.679329684164,277004.4058381494
154,,58642.15739801025,281282.6003267259
155,,58871.1354196552,283640.9310519865
156,,58105.810659199706,286748.266265436
157,,57350.435120630085,290407.9697058114
158,,56604.87946406192,293042.74688157905
159,,55869.01603102913,295354.5602288438
160,,56360.671237374656,298908.14352153294
161,,56799.91204688016,301443.5920461427
162,,56061.5131902707,304576.92518104886
163,,56891.760323251765,309329.2538896551
164,,56152.16743904949,311925.09106330335
165,,57067.44685903564,314802.7067497256
166,,56325.570049868176,318975.5550077033
167,,55593.33763921989,321271.47778797685
168,,56136.99595242383,324326.96240558877
169,,55407.21500504231,328283.2011321668
170,,54686.92120997678,334730.64169805
171,,55274.86520433957,337699.1738329277
172,,56358.03507357499,342522.7171191715
173,,55625.38061761848,347019.5841025463
174,,55732.47155207351,349504.518324021
175,,55007.94942189654,352225.51225020096
176,,55424.595501012474,354809.0582779201
177,,54704.075759499334,357072.90388652234
178,,53992.922774625855,361769.5762311522
179,,53291.01477855569,363604.6389011392
180,,53842.61451406182,368144.9210346984
181,,53142.66052537901,372026.9025923153
