"Ticks","placeholder","Changers","Stayers"
0,,0,0
1,,0,0
2,,51062.63500540425,51062.63500540425
3,,51465.46245933579,51838.78705748643
4,,51881.77271835922,52709.181237146084
5,,52395.429339637536,53056.978568350416
6,,52638.36382032953,53642.187678588925
7,,53555.91211227752,54043.16826653477
8,,57893.94099337201,54803.04401857808
9,,58587.97147337805,55359.60878726533
10,,63333.59716272168,56050.12138038713
11,,64135.63592864939,56655.69742704222
12,,64620.601341572125,57423.43906755706
13,,65121.549424934674,57924.27818880491
14,,70396.39492835442,58656.00507133919
15,,71023.53008545989,59347.67697512922
16,,76776.43602238222,59962.85618838718
17,,82995.32734019512,60670.212118310745
18,,83793.65893998726,61798.80124302267
19,,84611.23807303552,62338.15359003844
20,,91464.74835695136,62988.487113685864
21,,92972.83794995482,63878.63303860401
22,,94517.23272281207,64575.227172846484
23,,95779.11160214835,65512.150160445264
24,,103537.21964192242,66024.58634635314
25,,105093.37780489733,67104.2298611897
26,,113605.94140709397,68037.91389598865
27,,115086.18843292311,68098.97278953865
28,,116179.06308220772,68680.76175610008
29,,117916.98792592633,69307.43132907615
30,,118449.73208935124,70135.51513733783
31,,119212.08182520999,70718.0006149336
32,,128868.26045305199,71462.6665842197
33,,139306.58954974925,72449.79498859218
34,,150590.42330327886,73144.61172711609
35,,153001.90715086568,74096.90606536288
36,,165395.0616300858,74505.92561198941
37,,178792.06162212274,75030.8458432594
38,,180777.23423852838,76547.59675746103
39,,195420.19021184926,77333.9750634573
40,,197704.96999203396,78342.91070066529
41,,199709.2910307849,79055.41886411195
42,,215885.7436042785,79604.7674427058
43,,219550.18321447427,80151.68357346448
44,,222676.90555499474,80948.71423128991
45,,240713.73490494932,81254.5707080112
46,,260211.5474322502,82130.08150851946
47,,281288.68277426244,83128.66728973843
48,,282407.337730409,83808.53085192
49,,305282.3320865722,84468.24416178666
50,,309197.65624895925,85301.08237065749
51,,311655.3672002703,86201.63280969256
52,,314165.99461553444,87093.03386834632
53,,339613.4401793925,88122.20447473091
54,,367122.1288339234,88737.64522775957
55,,371323.4928056541,89745.65561451971
56,,376641.2697790059,90602.21841249122
57,,380952.4203143763,91203.56708591653
58,,384647.6588058776,92602.56909287865
59,,415804.11916915403,93842.82203953904
60,,449484.2528218553,94807.41719294961
61,,485892.4773004252,95226.39272359911
62,,491661.9544724432,96425.31976638825
63,,496949.1801343844,97032.57345181097
64,,537202.0637252696,98331.44171334268
65,,580715.4308870161,99347.00008187638
66,,627753.3807888642,100890.51590473704
67,,634870.248765114,101792.50487864186
68,,686294.7389150878,103305.84095339032
69,,693542.6129980551,104824.0327705534
70,,700262.6389794861,105490.73301690887
71,,707039.2717524058,106687.91834750459
72,,762714.5240832786,107721.77085838164
73,,767972.7050594743,109100.1441065947
74,,778519.997377311,110172.30941658438
75,,784141.6120056028,112132.18503563233
76,,832711.7094973784,113717.98730463069
77,,836976.3175208004,115004.1135385401
78,,840447.3898339217,116521.49228881804
79,,846062.986091286,117938.58375508816
80,,886609.0247471982,119259.80060047246
81,,895430.295424124,120833.6812325303
82,,899063.9253154725,121987.42501355453
83,,902305.8806171697,122789.87362777829
84,,913499.6743011617,124091.2283253911
85,,925883.4845957098,125422.26315609881
86,,934845.7371217243,126854.36265856889
87,,946416.1516673171,128749.11534674547
88,,946528.9880475168,130064.63291157561
89,,935404.9594516288,131736.5647875377
90,,942664.2836285399,133205.9300518006
91,,937963.8218613644,134899.8241928161
92,,939490.891432135,136879.55866315291
93,,940000,137880.43886887268
94,,940000,139757.68111620427
95,,952324.4444444445,141642.00677920078
96,,952375.4342222222,143768.94387919913
97,,961035.0480684442,145762.6029694205
98,,940000,147214.52052353125
99,,950360.8888888889,149352.39130276558
100,,964333.3204444447,150746.1683226256
101,,940000,152493.03694565495
102,,940000,153493.5533278606
103,,940000,155171.9407444663
104,,954288,156136.93665340674
105,,940000,157381.61111233052
106,,940000,158661.42462962563
107,,940000,160771.4949621758
108,,948397.3333333334,162716.4923904441
109,,940000,164004.92539984614
110,,951342.6666666666,166000.46080756708
111,,940000,168737.9657025145
112,,949379.1111111111,171100.63050971992
113,,955126.1875555557,172208.15924106995
114,,940000,174231.2306042856
115,,950360.8888888889,176264.5312432254
116,,945517.9044444445,177829.4829986093
117,,959071.4075995554,179288.17472220026
118,,940000,181374.41386283422
119,,940000,183753.8599501225
120,,943488.4444444445,185981.84609299075
121,,940000,188425.4550621629
122,,940000,190964.65698081753
123,,949379.1111111111,193341.96502635663
124,,957046.3568888891,195674.0325662539
125,,965684.1180537777,199223.6800955627
126,,960249.9482323197,200171.88902736036
127,,940000,201871.61420163518
128,,950360.8888888889,203416.08063771803
129,,940000,204776.32315198873
130,,952324.4444444445,207006.36467012117
131,,958171.6622222225,209312.621741038
132,,966169.0949066667,210918.8835652503
133,,940000,212679.2444640915
134,,949379.1111111111,215701.40637232037
135,,953681.5955555558,218461.17492704073
136,,962655.2624199998,220651.3147334493
137,,940000,221583.3963404858
138,,954288,222992.28519058396
139,,956837.2173333333,224397.74452638003
140,,955948.1971888888,226846.67761347673
141,,962214.2563774433,228825.97720735983
142,,940000,230692.23614294876
143,,940000,232852.71032962966
144,,952324.4444444445,235653.11133723712
145,,940000,238758.50254726078
146,,949379.1111111111,241513.57755670225
147,,940000,244964.0793169255
148,,940000,247505.6804642982
149,,940000,249143.22180786714
150,,951342.6666666666,251457.533143983
151,,951835.8533333333,254445.7344229115
152,,959215.5752742221,257046.28884370087
153,,940000,259312.82051180868
154,,940000,261319.83371970116
155,,940000,264579.4380299389
156,,940000,266889.9570113749
157,,940000,270553.2751404056
158,,940000,273362.4192997908
159,,940000,275741.3552273323
160,,954288,278874.6029533496
161,,959232.9640000003,282201.5558430223
162,,967433.1117159998,285820.9473499464
163,,940000,288315.8792597276
164,,940000,291217.3145002694
165,,947415.5555555555,294743.0411787729
166,,956918.349777778,298600.6524516922
167,,940000,301642.63533496467
168,,948397.3333333334,305593.14287127706
169,,959395.9600000002,309201.28436489496
170,,974058.1368804444,313071.02451449056
171,,940000,314982.9511018651
172,,940000,318559.75581792335
173,,940000,320300.6946122906
174,,948397.3333333334,324527.30096180935
175,,940000,326725.9439126207
176,,953306.2222222222,330952.1657529436
177,,940000,336044.14275040315
178,,949379.1111111111,340902.4462583581
179,,957979.6515555558,343791.73223090684
180,,955612.3177675555,347700.41833717254
181,,950423.9359154426,350268.00517061254
182,,940000,355187.5025451811
183,,940000,360343.0293445153
184,,940000,363882.4732281221
185,,940000,368372.75723168696
186,,940000,375168.3439056682
187,,940000,379633.1959119101
188,,950360.8888888889,385852.5502768904
189,,954643.1737777778,387639.8124155646
190,,940000,392338.7919894396
191,,940000,396823.62234667735
192,,950360.8888888889,400929.7112691013
193,,940000,402301.5012638719
194,,940000,405800.1203164878
195,,940000,408671.8698401759
