"Ticks","placeholder","Changers","Stayers"
0,,0,0
1,,0,0
2,,0,0
3,,0,0
4,,50889.82034956025,50889.820349560294
5,,55011.895797874655,51538.059727822554
6,,59467.85935750242,51903.894529691606
7,,64284.755965460114,52270.377458254385
8,,69491.82119866238,53165.01345739255
9,,70503.04701058782,53782.621052928
10,,76213.7938184454,54185.667728825436
11,,77320.17217519478,54994.18213174093
12,,78126.18454392193,55633.16532379774
13,,78699.91877830324,56038.26190182101
14,,79457.02371767195,56692.72609460497
15,,80502.76675740711,57175.65592456038
16,,81459.43362406058,58040.96474247568
17,,82676.4000850038,58519.020374452215
18,,83635.0768650327,59053.49087052837
19,,84417.78317725437,59619.76082074357
20,,91255.62361461189,60374.535440932996
21,,92337.73009805461,61245.62670566848
22,,99817.08623599705,62112.00617616501
23,,107902.27022111276,63259.65660389125
24,,116642.35410902288,63881.43494164535
25,,117576.21322884696,64535.52005655335
26,,127099.88650038354,65059.225580339655
27,,128260.8495863286,65683.09041332685
28,,129564.52665867546,66251.15778521574
29,,130905.84221156032,67458.35093975339
30,,141509.21543069673,68013.01795042871
31,,143200.03850356574,68747.42180577693
32,,144217.0719987111,70000.41540019446
33,,155898.65483060665,70794.656143534
34,,168526.44587188578,71692.09000098275
35,,169628.83282738633,71870.64980981134
36,,183368.76828640464,73033.23323063165
37,,198221.63851760328,73956.01932150651
38,,214277.59123752924,74544.76950418687
39,,231634.0761277691,75554.70011162563
40,,250396.43629411835,76158.36445939484
41,,252855.83856074276,76986.62591472782
42,,273337.16148416273,77795.44847579126
43,,277477.56111523404,78557.57240649767
44,,281334.70775016746,79339.08930894014
45,,304122.8190779311,79936.74674577586
46,,328756.76742324344,80651.0716301248
47,,355386.0655845262,81671.00883369765
48,,359480.00827601383,82423.50377042193
49,,363011.04189732595,83675.17385785967
50,,392414.9362910092,84372.14584466114
51,,399227.1372771805,85249.50370169911
52,,402189.1002915997,86324.65840376868
53,,434766.4174152191,87276.54534774635
54,,469982.4972258519,88524.08703026261
55,,474554.8155462728,89822.97030903811
56,,512993.75560552074,90135.58400507204
57,,520619.9925113349,90561.35109577831
58,,562790.2119047532,91371.9519580602
59,,569207.7590119446,91837.39878721091
60,,615313.5874919123,92890.48276986084
61,,624229.8529482911,93918.14061667722
62,,674792.4710371024,94702.40691746162
63,,679092.3533964654,95773.86099198481
64,,733867.7107394534,97074.09972042423
65,,747655.2461795367,97956.55029121527
66,,801013.8519920766,99037.33920959986
67,,852964.5099518251,100205.31603433243
68,,864296.3017477065,101057.61539929651
69,,874824.5335883055,102234.62108997378
70,,902893.4216424793,103372.53410129338
71,,916726.2281239574,105528.87711810575
72,,928269.7672656848,106810.94432403456
73,,935721.456815811,107286.93967899591
74,,939279.4275565495,108282.58938427808
75,,952933.5487831275,110038.60983914544
76,,940000,111402.94149528227
77,,940000,112154.74528411005
78,,952155.1724137932,113153.29829045714
79,,959432.4903448278,114902.28598425312
80,,940000,116243.89726424636
81,,950631.724137931,118058.60110052934
82,,940000,119327.91576735151
83,,948346.551724138,119905.30873622505
84,,953238.9113793105,120824.28065661425
85,,940000,121552.70446142314
86,,952155.1724137932,123192.19807072889
87,,940000,124534.18397172999
88,,940000,125406.56046510118
89,,940000,126312.19323934542
90,,949108.275862069,127707.44470316786
91,,940000,128603.96514293461
92,,950631.724137931,130726.50958664542
93,,940000,131850.42183072475
94,,953678.6206896552,134054.4683735293
95,,963646.0403448279,134624.73116005366
96,,964794.154562069,136481.91066143097
97,,958064.5344930344,138087.77578828397
98,,940000,139156.83447286912
99,,949108.275862069,140152.71881279064
100,,940000,141844.34108137854
101,,949870,143372.95366433653
102,,940000,144544.80756243799
103,,940000,145510.99985806012
104,,940000,147098.3529004917
105,,953678.6206896552,148109.69297782486
106,,955020.8758620692,150263.6102728245
107,,940000,151760.52393309225
108,,940000,154210.13032063452
109,,947584.8275862068,156242.07501282444
110,,951330.4844827589,157873.63696238078
111,,940000,159258.45221191354
112,,940000,159885.6439881369
113,,949108.275862069,161153.98605575893
114,,940000,163070.25261727517
115,,947584.8275862068,164371.49663051162
116,,954337.7713793109,165369.93401084415
117,,956723.4167141379,166830.85823411698
118,,958014.5903716097,168187.70130008803
119,,958997.3937433419,169545.04591661302
120,,962351.6484884256,171106.5934784342
121,,940000,173034.47992014769
122,,950631.724137931,176229.26102432708
123,,940000,179733.48741969586
124,,940000,182770.67058867638
125,,949108.275862069,184284.02208805547
126,,957416.6603448278,186489.93945586975
127,,940000,188144.42035359345
128,,951393.448275862,190203.06872515898
129,,961283.1720689661,192037.65570243992
130,,967436.8970603447,194791.57814820518
131,,940000,197216.3602438456
132,,950631.724137931,199159.20797355808
133,,940000,200967.79257193624
134,,940000,203116.8900279838
135,,940000,205161.52368744666
136,,940000,207135.1602998965
137,,940000,210305.63788178176
138,,940000,210784.91893394868
139,,940000,213007.08283176544
140,,951393.448275862,216724.20530005096
141,,958658.724482759,219316.7501441551
142,,963293.899651724,221927.36119851912
143,,940000,223609.4608504785
144,,950631.724137931,225904.2946206637
145,,940000,227691.2098064182
146,,940000,230451.97516329322
147,,949108.275862069,232468.0666321501
148,,958537.4644827589,234709.1990665176
149,,968544.8133931032,236422.72639276722
150,,965562.1145312523,239803.0483380209
151,,940000,243126.34958410883
152,,949108.275862069,246447.71706766044
153,,940000,249393.19214949082
154,,940000,253945.23814051377
155,,940000,257752.1217955918
156,,940000,259713.24114424182
157,,940000,262588.14011337084
158,,940000,264905.015048884
159,,940000,267959.3211781669
160,,946823.1034482758,271138.3046663489
161,,955039.935172414,274342.8175544121
162,,955098.2782658619,276977.2962970844
163,,940000,280933.13422146166
164,,953678.6206896552,285552.7238528833
165,,940000,289991.75635988277
166,,951393.448275862,293334.37122089614
167,,949309.4520689656,295511.59335560346
168,,951311.0155755173,297235.04397252324
169,,955761.0187262661,300061.2473807485
170,,954109.4509740411,304473.88188376644
171,,960129.9202515658,307717.650385325
172,,939989.8754961933,310873.200254421
173,,940000,312773.83384681214
174,,940000,315464.7449010797
175,,946061.3793103448,318994.545475077
176,,944506.3437931037,322662.1465233948
177,,940000,324909.2540003499
178,,950631.724137931,327710.3551826732
179,,940000,331093.51807533344
180,,940000,334041.47360386624
181,,940000,339161.5685757072
182,,940000,343029.2817247019
183,,940000,345761.2763785616
184,,940000,350496.84072509984
185,,949108.275862069,352213.8155720667
186,,940000,357588.6705527107
187,,949108.275862069,362796.2425848477
188,,952905.7300000002,365728.67953708634
189,,940000,371144.9985093806
190,,940000,375051.6491957938
191,,946061.3793103448,376862.39383401116
192,,940000,381635.7733803845
193,,949108.275862069,385844.8305384768
194,,940000,388320.7156532145
195,,940000,393334.9592441032
196,,940000,400101.0752360863
197,,940000,403476.9101495161
198,,940000,405615.58987448603
199,,940000,408812.5768747306
200,,940000,413665.8695942825
